,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
2047,Black Widow,Action-Adventure-Science Fiction,en,Marvel Studios,200000000,379751655,134,Released,2021,Natasha Romanoff also known as Black Widow confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.,1,79,91
2067,Cruella,Comedy-Crime,en,Walt Disney Pictures-Marc Platt Productions-Gunn Films,200000000,233503234,134,Released,2021,In 1970s London amidst the punk rock revolution a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief and together they are able to build a life for themselves on the London streets. One day Estella’s flair for fashion catches the eye of the Baroness von Hellman a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous fashionable and revenge-bent Cruella.,1,75,97
2070,Jungle Cruise,Action-Adventure-Fantasy,en,Walt Disney Pictures-Davis Entertainment-TSG Entertainment-Flynn Picture Company-Zaftig Films-Seven Bucks Productions,200000000,220889446,127,Released,2021,Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.,1,62,92
2068,Ghostbusters: Afterlife,Fantasy-Comedy-Adventure,en,Columbia Pictures-The Montecito Picture Company-Bron Studios-Ghost Corps,75000000,191000000,124,Released,2021,When a single mom and her two kids arrive in a small town they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.,1,63,94
2079,House of Gucci,Drama-Crime-History,en,Metro-Goldwyn-Mayer-Scott Free Productions-Bron Studios,75000000,153235995,158,Released,2021,When Patrizia Reggiani an outsider from humble beginnings marries into the Gucci family her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal decadence revenge and ultimately… murder.,1,62,83
2028,Clifford the Big Red Dog,Family-Adventure-Comedy-Fantasy,en,Paramount-Kerner Entertainment Company-Entertainment One-Walden Media-Scholastic Entertainment-New Republic Pictures,64000000,67000000,97,Released,2021,As Emily struggles to fit in at home and at school she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt becomes a gigantic dog and attracts the attention of a genetics company Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.,1,58,94
1998,Don't Breathe 2,Thriller-Horror,en,Ghost House Pictures-Screen Gems-Stage 6 Films-Good Universe-Bad Hombre Films,10000000,53785551,98,Released,2021,The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl forcing the Blind Man to leave his safe haven to save her.,1,,
2127,Malignant,Horror-Mystery-Thriller,en,New Line Cinema-Warner Bros. Pictures-Starlight International Media-Atomic Monster-Midas Innovation-BOOM! Studios,40000000,34892041,111,Released,2021,Madison is paralyzed by shocking visions of grisly murders and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.,1,,38
1967,Respect,Drama-Music-History,en,Metro-Goldwyn-Mayer-Bron Studios-Creative Wealth Media Finance-Glickmania-Cinesite,0,31217372,145,Released,2021,The rise of Aretha Franklin’s career from a child singing in her father’s church’s choir to her international superstardom.,1,,
2000,The Unholy,Horror-Mystery,en,Ghost House Pictures-Screen Gems,10000000,30833138,99,Released,2021,Alice is young hearing-impaired girl who after a supposed visitation from the Virgin Mary is inexplicably able to hear speak and heal the sick. As word spreads and people from near and far flock to witness her miracles a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.,1,25,44
2133,Last Night in Soho,Horror-Mystery-Thriller,en,Universal Pictures-Film4 Productions-Working Title Films-Complete Fiction,43000000,22957625,117,Released,2021,A young girl passionate about fashion design is mysteriously able to enter the 1960s where she encounters her idol a dazzling wannabe singer. But 1960s London is not what it seems and time seems to be falling apart with shady consequences.,1,76,90
2066,After We Fell,Romance-Drama,en,Voltage Pictures-Vertical Entertainment-CalMaple Films-Wattpad-Ethea Entertainment,14000000,21500000,99,Released,2021,Just as Tessa's life begins to become unglued nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life everything changes because of revelations about her family.,1,0,36
2144,Antlers,Drama-Horror-Mystery,en,Phantom Four-TSG Entertainment-Double Dare You Productions-Searchlight Pictures-Mirada Studio,0,18312201,99,Released,2021,A small-town Oregon teacher and her brother the local sheriff discover a young student is harbouring a dangerous secret that could have frightening consequences.,1,60,67
1995,Spirit Untamed,Animation-Adventure-Family-Western,en,Universal Pictures-DreamWorks Animation,30000000,17635215,88,Released,2021,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,1,48,95
1956,The Wolf and the Lion,Family-Adventure,en,Canal+-StudioCanal-Galatée Films-M6 Films-SODEC-Ciné+-Super Écran-Transfilm International-Mai Juin Productions-Sphere Films,11900000,15300000,99,Released,2021,After her grandfather's death 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.,1,29,90
1948,The Night House,Drama-Horror-Mystery-Thriller,en,Phantom Four-TSG Entertainment-Searchlight Pictures-Anton,0,14590542,107,Released,2021,Reeling from the unexpected death of her husband Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.,1,88,69
2357,Spencer,Drama,en,Komplizen Film-FilmNation Entertainment-Fabula-Shoebox Films-Fabula,18000000,14000000,117,Released,2021,During her Christmas holidays with the royal family at the Sandringham estate in Norfolk England Diana decides to leave her marriage to Prince Charles.,1,83,52
2021,AINBO: Spirit of the Amazon,Adventure-Animation-Family-Fantasy,en,Tunche Films,0,9882125,84,Released,2021,"An epic journey of a young hero and her Spirit Guides 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir who embark on a quest to save their home in the spectacular Amazon Rainforest.",1,,
2146,The Protégé,Action-Thriller,en,Ingenious Media-Millennium Films-Lionsgate-Signature Pictures-Campbell Grobman Films-Arthur Sarkissian Productions-Fourteen Films-I Road Productions-Seven Stars Entertainment,0,8639684,109,Released,2021,Rescued as a child by the legendary assassin Moody and trained in the family business Anna is the world’s most skilled contract killer. When Moody the man who was like a father to her and taught her everything she needs to know about trust and survival is brutally killed Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.,1,,
2328,Dream Horse,Comedy-Drama,en,Ingenious Media-Film4 Productions-Stage 6 Films-Ffilm Cymru Wales-RAW-Topic Studios-Cornerstone Films-Bleecker Street,20000000,6435260,113,Released,2021,The inspiring true story of Dream Alliance an unlikely race horse bred by small town bartender Jan Vokes. With very little money and no experience Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with the racing elites. Their investment pays off as Dream rises through the ranks and becomes a beacon of hope in their struggling community.,1,88,97
2408,A Journal for Jordan,Drama-Romance,en,Columbia Pictures-Escape Artists-Mundy Lane Entertainment-Bron Studios-Creative Wealth Media Finance-Outlier Society Productions,0,6200000,131,Released,2021,Based on the true story of First Sergeant Charles Monroe King a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home senior New York Times editor Dana Canedy revisits the story of her unlikely life-altering relationship with King and his enduring devotion to her and their child.,1,39,95
1981,Finding You,Romance-Drama,en,Roadside Attractions-Red Sky Studios-Nook Lane Entertainment,0,3300000,119,Released,2021,Finley a talented aspiring violinist meets Beckett a famous young movie star on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening and she emboldens him to take charge of his future until the pressures of his stardom get in the way.,1,53,91
