,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
6653,Dark Phoenix,Science Fiction-Action-Adventure,en,20th Century Fox-The Donners' Company-Genre Films-Hutch Parker Entertainment,200000000,252442974,114,Released,2019,The X-Men face their most formidable and powerful foe when one of their own Jean Grey starts to spiral out of control. During a rescue mission in outer space Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home this force not only makes her infinitely more powerful but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.,1,22,64
6666,Maleficent: Mistress of Evil,Family-Fantasy-Adventure-Action,en,Walt Disney Pictures-Roth Films,185000000,491730089,119,Released,2019,Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials unexpected allies and dark new forces at play.,1,39,95
6580,Toy Story 4,Family-Adventure-Animation-Comedy-Fantasy,en,Walt Disney Pictures-Pixar,175000000,1073394593,100,Released,2019,"Woody has always been confident about his place in the world and that his priority is taking care of his kid whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",1,97,94
6999,Wonder Park,Comedy-Animation-Adventure-Family-Fantasy,en,Paramount-Nickelodeon Movies-Ilion Animation Studios-Paramount Animation,100000000,119559110,86,Released,2019,A young girl named June with a big imagination makes an incredible discovery -- the amusement park of her dreams has come to life. Filled with the world's wildest rides operated by fun-loving animals the excitement never ends. But when trouble hits June and her misfit team of furry friends begin an unforgettable journey to save the park.,1,34,44
6884,Playmobil: The Movie,Family-Animation-Comedy-Adventure,en,Lionsgate-Canadian Film or Video Production Tax Credit (CPTC)-SODEC-DMG Entertainment-STX Entertainment-ON Animation Studios-Morgen Studios,75000000,0,99,Released,2019,Marla is forced to abandon her carefully structured life to embark on an epic journey to find her younger brother Charlie who has disappeared into the vast and wondrous animated world of Playmobil toys.,1,,
6968,The Kid Who Would Be King,Action-Adventure-Fantasy-Family,en,20th Century Fox-Big Talk Productions-Working Title Films-TSG Entertainment,59000000,32140970,120,Released,2019,Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies and they become knights who join forces with the legendary wizard Merlin. Together they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.,1,90,55
6652,Rambo: Last Blood,Action-Thriller-Drama,en,Millennium Films-Campbell Grobman Films-Dadi Film Group-Templeton Media-Balboa Productions,50000000,91490353,89,Released,2019,After fighting his demons for decades John Rambo now lives in peace on his family ranch in Arizona but his rest is interrupted when Gabriela the granddaughter of his housekeeper María disappears after crossing the border into Mexico to meet her biological father. Rambo who has become a true father figure for Gabriela over the years undertakes a desperate and dangerous journey to find her.,1,,
6561,Dora and the Lost City of Gold,Adventure-Comedy-Family-Fantasy,en,Paramount-Nickelodeon Movies-Walden Media-Screen Queensland-Paramount Players,49000000,119682635,102,Released,2019,Dora a girl who has spent most of her life exploring the jungle with her parents now must navigate her most dangerous adventure yet: high school. Always the explorer Dora quickly finds herself leading Boots (her best friend a monkey) Diego and a rag tag group of teens on an adventure to save her parents and solve the impossible mystery behind a lost Inca civilization.,1,85,88
6357,Doctor Sleep,Horror-Thriller-Fantasy,en,Vertigo Entertainment-Intrepid Pictures,45000000,72281712,152,Released,2019,Still irrevocably scarred by the trauma he endured as a child at the Overlook Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra a courageous teenager with her own powerful extrasensory gift known as the 'shine'. Instinctively recognising that Dan shares her power Abra has sought him out desperate for his help against the merciless Rose the Hat and her followers.,1,78,89
6458,UglyDolls,Family-Animation-Music,en,Reel FX Creative Studios-STX Entertainment-Alibaba Pictures Group-Original Force Animation-Huaxia Film Distribution,45000000,32450241,87,Released,2019,In the adorably different town of Uglyville weirdness is celebrated strangeness is special and beauty is embraced as more than meets the eye. After traveling to the other side of a mountain Moxy and her UglyDoll friends discover Perfection -- a town where more conventional dolls receive training before entering the real world to find the love of a child.,1,29,54
7087,Long Shot,Comedy-Romance,en,Lionsgate-Denver and Delilah Productions-Point Grey Pictures-Good Universe-AG Studios,40000000,0,125,Released,2019,Journalist Fred Flarsky reunites with his childhood crush Charlotte Field now one of the most influential women in the world. As she prepares to make a run for the Presidency Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.,1,89,83
6650,Annabelle Comes Home,Horror-Mystery-Thriller,en,New Line Cinema-The Safran Company-Atomic Monster,30000000,231252591,106,Released,2019,Determined to keep Annabelle from wreaking more havoc demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room who all set their sights on a new target—the Warrens' ten-year-old daughter Judy and her friends.,1,64,70
6560,Last Christmas,Comedy-Romance,en,Universal Pictures-Feigco Entertainment,30000000,121550750,102,Released,2019,Kate is a young woman who has a habit of making bad decisions and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However after she meets Tom there her life takes a new turn.,1,,
6642,Scary Stories to Tell in the Dark,Horror-Thriller,en,Starlight International Media-CBS Films-Entertainment One-1212 Entertainment-Double Dare You Productions-Rolling Hills-Hivemind,25000000,104545505,108,Released,2019,Mill Valley Pennsylvania Halloween night 1968. After playing a joke on a school bully Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family unleashing dark forces that they will be unable to control.,1,77,72
6472,What Men Want,Comedy-Romance,en,Will Packer Productions-Paramount Players-BET Films,20000000,69766483,117,Released,2019,Magically able to hear what men are thinking a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.,1,42,34
6522,Little,Comedy-Fantasy-Romance,en,Universal Pictures-Legendary Pictures-Will Packer Productions-Khalabo Ink Society,20000000,17399000,108,Released,2019,Jordan Sanders a take-no-prisoners tech mogul wakes up one morning in the body of her 13-year-old self right before a do-or-die presentation. Her beleaguered assistant April is the only one in on the secret that her daily tormentor is now trapped in an awkward tween body just as everything is on the line.,1,46,59
6736,"Where'd You Go, Bernadette",Comedy-Drama,en,Color Force-Annapurna Pictures,20000000,0,109,Released,2019,When architect-turned-recluse Bernadette Fox goes missing prior to a family trip to Antarctica her 15-year-old daughter Bee goes on a quest with Bernadette's husband to find her.,1,51,74
6533,A Dog's Way Home,Drama-Adventure-Family,en,Columbia Pictures-Pariah-Bona Film Group,18000000,17643857,96,Released,2019,The adventure of Bella a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.,1,59,71
6986,Miss Bala,Action,en,Columbia Pictures-Canana-Misher Films,15000000,15200000,104,Released,2019,Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning inventiveness and strength.,1,87,63
6570,After,Romance-Drama,en,Offspring Entertainment-Voltage Pictures-Diamond Film Productions-CalMaple Films-Wattpad-Frayed Pages Entertainment,14000000,69497587,106,Released,2019,Tessa Young is a dedicated student dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college Tessa's guarded world opens up when she meets Hardin Scott a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.,1,,12
6438,Crawl,Thriller-Horror-Action,en,Fire Axe Pictures-Ontario Creates-Raimi Productions-Serbia Creates Film,13500000,91542097,88,Released,2019,When a huge hurricane hits her hometown in Florida Haley ignores evacuation orders to look for her father. After finding him badly wounded both are trapped by the flood. With virtually no time to escape the storm they discover that rising water levels are the least of their problems.,1,63,19
6389,Black and Blue,Drama-Action-Thriller,en,Screen Gems-Royal Viking Entertainment-Hidden Empire Film Group,12000000,22741061,109,Released,2019,A rookie cop inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops she teams up with the one person from her community who is willing to help her as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.,1,51,93
6917,Ophelia,Drama-Romance-History,en,Covert Media-Bobker / Kruger Films-Forthcoming Films-Bert Marcus Film,12000000,242115,114,Released,2019,Ophelia comes of age as lady-in-waiting for Queen Gertrude and her singular spirit captures Hamlet's affections. As lust and betrayal threaten the kingdom Ophelia finds herself trapped between true love and controlling her own destiny.,1,62,60
6978,Fighting with My Family,Comedy,en,Metro-Goldwyn-Mayer-Film4 Productions-WWE Studios-Misher Films-The Ink Factory-Seven Bucks Productions,11000000,39055536,108,Released,2019,Born into a tight-knit wrestling family Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.,1,93,86
6545,Child's Play,Drama-Horror-Science Fiction,en,Metro-Goldwyn-Mayer-Orion Pictures-Canadian Film or Video Production Tax Credit (CPTC)-Bron Studios-Creative Wealth Media Finance-Oddfellows Entertainment-KatzSmith Productions,10000000,44902237,90,Released,2019,Karen a single mother gifts her son Andy a Buddi doll for his birthday unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.,1,63,57
6926,The Grudge,Horror-Mystery,en,Ghost House Pictures,10000000,42800000,93,Released,2019,After a young mother murders her family in her own house a detective attempts to investigate the mysterious case only to discover that the house is cursed by a vengeful ghost. Now targeted by the demonic spirits the detective must do anything to protect herself and her family from harm.,1,40,46
6510,Triple Threat,Thriller-Action,en,Hamilton Entertainment-SC Films Thailand Co.-Kungfuman Culture Media-Aurora Alliance Films,10000000,0,96,Released,2019,A crime syndicate places a hit on a billionaire's daughter making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her fighting tooth and nail to stop the assassins from reaching their target.,1,,
