,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
8016,Tarja: Act II,Music,en,earMUSIC,0,0,135,Released,2018,Filmed during Tarja’s The Shadow Shows World Tour during which the influential heavy rock singer circled the world for 7 ½ times with over 300.000 km travelled and played over 200 shows in 40 countries in front of 1 million people.  Act II consists of the singer’s very intimate set filmed and recorded live at the Metropolis Studio in London UK and the breathtaking live performance of one of her shows in Milan Italy as well as previously unreleased interviews and photo galleries. Set-List: 1. No Bitter End / 2. 500 Letters / 3. Demons in You / 4. Little Lies / 5. Eagle Eye / 6. Diva / 7. Calling from the Wild / 8.  Supremacy (Muse Cover) / 9. Tutankhamen / Ever Dream / The Riddler / Slaying the Dreamer / 10. Undertaker / 11. Lanterna dos Afogados (Os Paralamas do Sucesso Cover) / 12. Love to Hate / 13. Victim of Ritual / 14. I Walk Alone / 15. Innocence / 16. Die Alive / 17. Until My Last Breath.,1,,
8018,Nothing Like The Sun,Drama-History,en,Horsehead Cinema,300000,0,98,Released,2018,Based on a true story A Sweetest Kiss portrays the dramatic romantic struggles of a lesbian woman (Alice Mitchell) in the restrictive suburbs of 1950's America. After being estranged by her family Alice is forced to support herself by working as a street prostitute while confronting potential dangers at every corner. Eventually an upstanding family takes her in and Alice starts to win them over by adopting their Christian faith while suppressing her romantic feelings toward their beautiful daughter Annabel. But a pious relative Lillian intervenes when Alice and Annabel begin to fall in love. Despite efforts to reject her own passionate feelings and commit more deeply to her religious faith Alice is drawn back to Annabel each risking everything to follow their hearts. A final confrontation threatens to destroy the complicated façades that confine the community culminating in a final choice for Alice and Annabel.,1,,
8020,Involution,Thriller-Science Fiction-Drama,en,Monomania Films,0,0,87,Released,2018,In a future in which the earth has been sent out of control affected by a cruel and inhuman mechanism that turns back Darwin's theory of Evolution Hamming and Liv try to survive. It seems that nothing can stand in the way of their relationship but every person gradually starts to feel animal instincts: uncontrolled aggression protection of offspring spontaneous sexual desire. When Liv disappears Hamming has to make an important step – to face the world endangering his very own life in order to find her.,1,,
8021,She's Mine,Drama-Horror-Romance,en,Lee Production,60000,580000,78,Released,2018,When a young man moves across the hall from his high school crush basic lust turns to obsession and voyeurism will not be enough to quench his desire for her!,1,,
8026,Black Mamba,Action-Horror,en,Cinema Lexzikon Productions,0,0,120,Released,2018,When a woman is killed by corrupt cops she is reincarnated as an assassin charged with destroying those who killed her and her friends.,1,,
8031,Little Monster,Horror,en,Mad Science Films,0,0,73,Released,2018,Your six-year-old daughter has been bitten by a zombie and now hungers for human flesh. What do you do? Do you double tap her in the brain? Or do you become the ultimate enabler and feed her human flesh? And where do you get human flesh from? This is the dilemma that Gareth and Jen face with their beautiful daughter Ana. What will they do? And how far will it go?,1,,
8034,Already Lucky,Romance,en,Cary Sandoval Films,0,0,78,Released,2018,Ian Murphy can't find a job. Layla is facing harassment at her job. At home the two of them can't seem to connect anymore. After one faithful night she walks out on him leaving him distraught angry and self loathing. Through some cosmic shift he meets Evelyn who is impossibly positive and helps make life seem bearable for him again.,1,,
8039,Life and Nothing More,Drama,en,Aquí y Allí Films,0,0,113,Released,2018,Standing on the edge of adulthood Andrew yearns to find his purpose as a young African-American in today's America. With his mother longing to find more to her life then parenting Andrew is forced to take on the mounting pressure of family responsibility. His search for connection with an absent father leads him to a dangerous crossroads.,1,100,93
8057,Kayak to Klemtu,Family-Adventure,en,Scythia Films-Téléfilm Canada-Stellar Citizens,0,0,91,Released,2018,14-year-old Ella is determined to travel the length of the Inside Passage along the shores of the Great Bear Rainforest by kayak in order to testify against a proposed pipeline that would see oil tanker traffic through her beloved homeland waters.,1,50,78
8058,Patient 001,Science Fiction,en,One Split Second Productions,0,0,87,Released,2018,A young-wife desperate to give her beloved comatose and dying husband a child considers her only option: cloning.  Giving birth to a son fulfills her dream of having a family. But the arrival of the baby awakens a supernatural presence unleashing unexpected results.  The family must make an impossible choice and live with a secret forever. (DCIFF),1,,
8060,This is My Year,Drama-Comedy,en,Comedy Dynamics-1201 Pictures-Brindlescotch Pictures,0,0,97,Released,2018,"Connor Miller is a screenwriter or at least she wants to be. After 3 years of living in Los Angeles' ""valley"" she moves to Hollywood to give it one last shot. There she wrestles with the costs of chasing a dream and struggles to keep her eye on the prize during her ""make-it-or-break-it"" year.",1,,
8063,Getting Grace,Drama-Comedy,en,Moed Productions-Magic Bean Entertainment,0,220406,112,Released,2018,Grace a teenage girl dying of cancer crashes a funeral home to find out what will happen to her after she dies but ends up teaching the awkward funeral director Bill Jankowski how to celebrate life.,1,,96
8065,The Blind Date,Comedy,en,Zachariah Mayfield,0,0,55,Released,2018,Comedian Jaron Myers asks a girl he's never met (Reagan Drake) to be his date to his comedy show. And as a surprise to her and the audience there is a dinner table on stage where they had their first unscripted date in front of a live audience.,1,,
8072,Josephine Doe,Drama,en,Byrdhouse Films,0,0,72,Released,2018,"Claire tells the police officer ""It was all Jo's idea."" But who's Jo? Jo is the bright spark in Claire’s recently darkened reality; a new friend in an otherwise isolated world. The two young women hit the town to let off some steam-and find themselves in trouble with local law enforcement. In the blink of an eye Claire discovers that Jo is not what she seems-not at all-and her easy friendship with the lighthearted young woman splits open to reveal the truth. Luminously shot in black and white Josephine Doe is a raw exploration of family trauma and mental health that shows the thin line between our realities.",1,,83
8073,Verano no miente,Drama-Comedy-Romance,en,La 5ta Maquina Films,0,0,120,Released,2018,In a countryside house in the Ecuadorean Andes Mountains lives Christine a paralytic old woman who has decided to be isolated from the world. In that place she found refuge in old memories of her first love Manuel. Years after getting married and widowed from another man Christine and her daughter Julia decide to put together a plan in order to reunite two young people at their countryside house. Christine's drive is for them to fall in love so she can relive love through their eyes.,1,,
8074,"My Teacher, My Obsession",Drama-Thriller-TV Movie,en,Sunshine Films-Lifetime,0,0,105,Released,2018,Riley is struggling to make friends after transferring to a new high school where her father Chris is an English teacher. When she meets Kyla they quickly becomes close friends. However the friendship takes a strange turn when Riley learns that Kyla is obsessed with her dad. Will Kyla successfully seduce Chris and start a twisted new life with him by removing everyone in her path or will Riley be able to save her father from Kyla’s treacherous plot before it’s too late?,1,,
8075,London Fields,Crime-Thriller,en,Muse Productions-Periscope Entertainment-Head Gear Films-Curiously Bright Entertainment-Living the Dream Films-MindSky Entertainment-Vedette Finance-Tartan-20th Century Fox,8000000,487420,118,Released,2018,Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men — one of whom she knows will be her murderer.,1,0,33
8076,The Maker of Monsters,Horror,en,Moonlight Films,0,0,82,Released,2018,A depraved scientist falls madly in love with a young woman and turns her lover into a hideous monster for meddling in his diabolical plans.,1,,
8080,In The House Of Ravens,Horror-Mystery-Thriller,en,Varna Films,0,0,96,Released,2018,When a young pregnant mother with disability arrives at a mysterious house she experiences a series of strange events that lead her to believe that someone is kept prisoner within the house.,1,,
8082,10x10,Thriller,en,Head Gear Films-Unstoppable Entertainment,0,0,86,Released,2018,Lewis is an outwardly ordinary guy but in reality he is hiding an obsession – revenge – against Cathy. Lewis kidnaps Cathy in broad daylight and takes her to his home where he locks her in a soundproof cell and attempts to extract a dark secret from her past.,1,67,23
8087,Cinderella: The Enchanted Beginning,Family,en,MVP Original,0,0,70,Released,2018,Forced to live a life inhabited by her wicked step mother and her two step sisters Cinderella Perrault learns about the fruition of love life and self discovery in this modern retelling of the classic tale.,1,,
8090,Cam,Mystery-Thriller-Horror,en,Blumhouse Productions-Divide / Conquer-Gunpowder & Sky,0,0,95,Released,2018,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.,1,93,54
8093,Anna and the Apocalypse,Horror-Comedy-Fantasy,en,Creative Scotland-Black Camel Pictures-Parkhouse Pictures-Blazing Griffin,0,0,98,Released,2018,A zombie apocalypse threatens the sleepy town of Little Haven – at Christmas – forcing Anna and her friends to fight slash and sing their way to survival facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world and with civilization falling apart around them the only people they can truly rely on are each other.,1,77,63
8094,Christmas with a View,Romance-Family-TV Movie,en,Brain Power Studio,0,0,90,Released,2018,This Christmas Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing will their shared passion for cooking bring them together or will secrets keep them apart?,1,,11
8098,Flesh & Blood,Horror-Mystery-Thriller,en,Blumhouse Television-Divide / Conquer,0,0,93,Released,2018,Kimberly a teenager suffering from agoraphobia has not left the house since her mother's unsolved murder. On the eve of Thanksgiving she begins to suspect that the safe harbor of home and her doting father may be a dangerous mirage.,1,,
8106,Can You Ever Forgive Me?,Drama-Crime-Comedy,en,Fox Searchlight Pictures-Archer Gray,0,8586944,107,Released,2018,When a bestselling celebrity biographer is no longer able to get published because she has fallen out of step with current tastes she turns her art form to deception.,1,98,81
