,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
3761,Mulan,Adventure-Fantasy-Drama-Action,en,Walt Disney Pictures-China Film Group Corporation-Jason T. Reed Productions-Good Fear,200000000,66800000,115,Released,2020,When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns Hua Mulan the eldest daughter of an honored warrior steps in to take the place of her ailing father. She is spirited determined and quick on her feet. Disguised as a man by the name of Hua Jun she is tested every step of the way and must harness her innermost strength and embrace her true potential.,1,86,85
3763,Wonder Woman 1984,Action-Adventure-Fantasy,en,Warner Bros. Pictures-Atlas Entertainment-The Stone Quarry-DC Films,200000000,165160005,151,Released,2020,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,1,58,73
3764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Action-Crime,en,Warner Bros. Pictures-LuckyChap Entertainment-Clubhouse Pictures-Kroll & Co Entertainment-DC Films,75000000,201858461,109,Released,2020,Harley Quinn joins forces with a singer an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.,1,78,78
3820,The Rhythm Section,Action-Thriller,en,Ingenious Media-IM Global-Eon Productions-Babieka Films-Global Road Entertainment-Whitebeard Films,50000000,0,109,Released,2020,When she discovers the plane crash that claimed the lives of her family was no accident Stephanie Patrick enters the dark complex world of international espionage seeking vengeance. With nothing left to lose Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.,1,28,44
3905,Unhinged,Action-Thriller,en,Ingenious Media-Altitude Film Entertainment-Solstice Productions-Burek Films,33000000,39238300,90,Released,2020,A divorced mother honks impatiently at a deranged middle-aged stranger at a red light while running late on her way to work. His road rage escalates to horrifyingly psychotic proportions as he becomes single-mindedly determined to teach her a deadly lesson for provoking him.,1,48,77
3861,Love and Monsters,Comedy-Action-Adventure-Fantasy,en,21 Laps Entertainment,30000000,1070714,109,Released,2020,Seven years since the Monsterpocalypse began Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee Joel decides to venture out to reunite with her despite all the dangerous monsters that stand in his way.,1,94,89
3604,Like a Boss,Comedy,en,Paramount-Artists First,29000000,26925979,83,Released,2020,Two female friends with very different ideals decide to start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,1,22,65
3857,All My Life,Romance-Drama,en,Broken Road Productions-Perfect World Pictures,25000000,2000000,93,Released,2020,It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However in the end it was those two who hit it off. Sol enjoyed Jen’s smile her effort and how silly she could be. Jen enjoyed Sol’s cooking his athleticism and that he would join her in fun moments. As you can imagine love bloomed and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well it led to him proposing. But what started as a liver tumor grew into full-on cancer so with a diagnosis of 6 months to live Sol and Jennifer try to make the best of it.,1,57,61
3527,The Secret: Dare to Dream,Drama-Romance,en,Roadside Attractions-Covert Media-Robert Cort Productions-Savvy Media Holdings-Illumination Productions-Shine Box Media Group-Tri G,21000000,3215636,107,Released,2020,A widow with three children hires a handyman to fix her house during a major storm. When not doing home repairs he shares his philosophy of believing in the power of the universe to deliver what we want.,1,28,73
3877,Enola Holmes,Adventure-Mystery-Comedy-Crime,en,Legendary Pictures-PCMA Productions,21000000,0,123,Released,2020,While searching for her missing mother intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.,1,91,71
3851,The Empty Man,Horror-Mystery-Thriller,en,Out of Africa Entertainment-BOOM! Studios-20th Century Studios,16000000,4176641,137,Released,2020,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further James begins to see and hear strange things and is forced to come to terms with his past and what it means for his future.",1,74,39
4340,The Photograph,Drama-Romance,en,Universal Pictures-Will Packer Productions,16000000,20690779,106,Released,2020,When famed photographer Christina Eames dies unexpectedly she leaves her estranged daughter Mae hurt angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.,1,75,81
3605,The Turning,Horror-Thriller,en,DreamWorks Pictures-Universal Pictures-Amblin Entertainment-Vertigo Entertainment,14000000,18472775,94,Released,2020,A young woman quits her teaching job to be a private tutor for two wealthy young kids but soon starts to suspect there’s more to their house than what meets the eye.,1,86,54
3901,The Hunt,Action-Thriller-Horror,en,dentsu-Blumhouse Productions-White Rabbit Productions,14000000,42415898,90,Released,2020,Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.,1,57,66
3517,Baby Bulldog,Family-Comedy,en,Be Your Own Hollywood,13000000,0,70,Released,2020,Animal loving Amber is racing the clock and taking on city hall for her new dog Shadow and learning that you can't judge by what you see.,1,,
3824,Wolfwalkers,Animation-Family-Adventure-Fantasy,en,Canal+-Haut et Court-Screen Ireland-RTÉ-OCS-Film Fund Luxembourg-Melusine Productions-Apple-Cartoon Saloon-Broadcasting Authority of Ireland-GKIDS-Folivari-Value&Power Culture Communications-Pôle Image Magelis,12000000,1266570,103,Released,2020,In a time of superstition and magic when wolves are seen as demonic and nature an evil to be tamed a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.,1,99,98
4240,The Academy of Magic,Family-Animation-Fantasy,en,Gold Valley Films-Marc Graue Recording Studios: Voiceover and Post,12000000,0,89,Released,2020,Aura is gifted with magical abilities; she and her friends have many exciting adventures at the academy but soon Aura learns that the school hatches many dark secrets that she must uncover. Will she be able to unveil the truth?,1,,
3611,Emma.,Comedy-Romance,en,Blueprint Pictures-Focus Features-Working Title Films-Perfect World Pictures,10000000,25155355,125,Released,2020,In 1800s England a well-meaning but selfish young woman meddles in the love lives of her friends.,1,86,72
4255,The Secrets We Keep,Thriller-History-Drama,en,Di Bonaventura Pictures-Echo Lake Entertainment-Fibonacci Films-AGC Studios-Kirkhaus Films,7200000,615233,97,Released,2020,In post-World War II America a woman rebuilding her life in the suburbs with her husband kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.,1,63,41
3776,The Invisible Man,Thriller-Science Fiction-Horror,en,Universal Pictures-Blumhouse Productions-Goalpost Pictures-Screen Australia-Nervous Tick,7000000,130234661,124,Released,2020,When Cecilia's abusive ex takes his own life and leaves her his fortune she suspects his death was a hoax. As a series of coincidences turn lethal Cecilia works to prove that she is being hunted by someone nobody can see.,1,92,88
3702,A Nice Girl Like You,Comedy-Romance,en,Vertical Entertainment-SPR Media-Affirmative Entertainment-CaliWood Pictures,6100000,0,94,Released,2020,Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery friendship and new love.,1,10,47
3588,Nomadland,Drama,en,Highwayman Films-Cor Cordium Productions-Hear/Say Productions,5000000,14784114,108,Released,2020,A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession living as a van-dwelling modern-day nomad.,1,93,82
3594,Zola,Comedy-Crime,en,Killer Films-Gigi Films-Ramona Films,5000000,3500000,86,Released,2020,A waitress agrees to accompany an exotic dancer her put-upon boyfriend and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.,1,88,68
3844,Gretel & Hansel,Fantasy-Horror-Mystery,en,Orion Pictures-Automatik Entertainment-Bron Studios-Creative Wealth Media Finance-Wild Atlantic Pictures,5000000,22059211,87,Released,2020,A long time ago in a distant fairy tale countryside a young girl leads her little brother into a dark wood in desperate search of food and work only to stumble upon a nexus of terrifying evil.,1,63,23
3875,Deep Blue Sea 3,Action-Horror-Science Fiction,en,Roserock Films,5000000,0,100,Released,2020,"Dr. Emma Collins and her team are spending their third summer on the island of Little Happy studying the effect of climate change on the great white sharks who come to the nearby nursery every year to give birth. Along with the last two inhabitants of this former fishing village their peaceful life is disrupted when a ""scientific"" team led by her ex-boyfriend and marine biologist Richard show up looking for three bull sharks who we soon learn aren't just any bull sharks.",1,71,45
