,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
4447,Never Kiss a Man in a Christmas Sweater,Romance-Comedy,en,Two 4 The Money Media-Hallmark Media-EveryWhere Studios-Christmas Sweater Productions,0,0,84,Released,2020,Single mom Maggie is facing Christmas alone until Lucas crashes into her life and becomes an unexpected house guest. Together they overcome Christmas while finding comfort in their growing bond.,1,,
4451,Chateau Christmas,Romance-TV Movie,en,Two 4 The Money Media-Hallmark Media,0,0,84,Released,2020,Margot a world-renowned pianist returns to Chateau Newhaus to spend the holidays with her family and is reunited with an ex who helps her rediscover her passion for music.,1,,
4452,I Met a Girl,Romance-Drama-Comedy,en,Monsoon Pictures-Factor 30 Films,0,0,108,Released,2020,An impulsive musician struggling with schizophrenia falls for a mysterious woman who may be all in his head. When she suddenly vanishes he takes off on a cross- country journey across Australia to find her forcing his long-suffering brother to try to rescue him.,1,,
4457,Violation,Horror-Thriller-Drama,en,DM Films,0,0,107,Released,2020,A troubled woman on the edge of divorce returns home to her younger sister after years apart. But when her sister and brother-in-law betray her trust she embarks on a vicious crusade of revenge.,1,88,81
4460,Baby Monitor Murders,Mystery-Drama-Crime-TV Movie,en,Reel One Entertainment-My Life Productions Inc.,0,0,87,Released,2020,Cassie Temple accepts a job as a babysitter back home after her internship falls through however she begins suspecting her employer is up to something sinister after overhearing a murder plot.,1,,
4461,Baby Done,Comedy,en,Piki Films,0,0,91,Released,2020,Wannabe-adventurer Zoe freaks out when she falls pregnant to her long-term boyfriend Tim. As Tim embraces the prospect of fatherhood Zoe attempts to rush through her dreams.,1,93,40
4465,One Royal Holiday,Romance-TV Movie,en,Synthetic Cinema International-Team 2 Entertainment,0,0,84,Released,2020,When Anna offers a stranded mother and son shelter in a blizzard she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown encouraging him to open his heart and be true to himself.,1,,
4466,Burden,Drama,en,Bill Kenwright Films-The Fyzz-Unburdened Entertainment,0,0,129,Released,2020,Ku Klux Klansman Mike Burden opens the Redneck Shop and KKK museum in historic Laurens SC. He subsequently falls in love with a single mother and under her influence quits the Klan and is taken in by an African American Reverend.,1,,
4467,Five Star Christmas,Romance-TV Movie,en,Motion Picture Corporation of America-Brad Krevoy Television-Star 5 Productions Inc.,0,0,84,Released,2020,After moving back to her hometown Lisa (Lenz) plots with her siblings and grandparents to help her father's bed and breakfast get a five-star review from an incognito travel critic (Webster) but ends up falling for him not knowing he is the real critic.,1,,
4468,Cyst,Horror-Science Fiction-Comedy,en,FantomFilm Produktion,0,0,68,Released,2020,In the 1960s a nurse's last day on her job is ruined when a doctor inadvertently creates a cyst monster that terrorizes the office.,1,,
